model,data,misc_or_type,no_of_annotations,no_of_predictions,mode,precision,recall,f1,F1_from
dacy_large,1871-1879,true,318,322,partial,0.8655,0.8674,0.8624,Ibsen
dacy_large,1871-1879,true,318,322,type,0.8359,0.8363,0.8322,Ibsen
dacy_large,1880-1889,true,316,304,strict,0.8469,0.8318,0.8372,Ibsen
dacy_large,1880-1889,true,316,304,exact,0.9106,0.8948,0.9005,Ibsen
dacy_large,1880-1889,true,316,304,partial,0.9410,0.9254,0.9310,Ibsen
dacy_large,1880-1889,true,316,304,type,0.8902,0.8757,0.8808,Ibsen
dacy_large,1890-1905,true,246,264,strict,0.7559,0.7631,0.7572,Ibsen
dacy_large,1890-1905,true,246,264,exact,0.7729,0.7782,0.7730,Ibsen
dacy_large,1890-1905,true,246,264,partial,0.8231,0.8318,0.8246,Ibsen
dacy_large,1890-1905,true,246,264,type,0.8331,0.8437,0.8358,Ibsen
spacy_small,1844-1871,true,373,820,strict,0.2326,0.3662,0.2537,Ibsen
spacy_small,1844-1871,true,373,820,exact,0.3327,0.5189,0.3659,Ibsen
spacy_small,1844-1871,true,373,820,partial,0.3804,0.6070,0.4231,Ibsen
spacy_small,1844-1871,true,373,820,type,0.2768,0.4397,0.3068,Ibsen
spacy_small,1871-1879,true,318,312,strict,0.4558,0.4857,0.4545,Ibsen
spacy_small,1871-1879,true,318,312,exact,0.6438,0.6483,0.6254,Ibsen
spacy_small,1871-1879,true,318,312,partial,0.6814,0.6792,0.6587,Ibsen
spacy_small,1871-1879,true,318,312,type,0.4655,0.4942,0.4635,Ibsen
spacy_small,1880-1889,true,316,292,strict,0.6406,0.5959,0.6100,Ibsen
spacy_small,1880-1889,true,316,292,exact,0.7749,0.7107,0.7305,Ibsen
spacy_small,1880-1889,true,316,292,partial,0.7987,0.7313,0.7521,Ibsen
spacy_small,1880-1889,true,316,292,type,0.6723,0.6215,0.6381,Ibsen
spacy_small,1890-1905,true,246,567,strict,0.4896,0.4890,0.4657,Ibsen
spacy_small,1890-1905,true,246,567,exact,0.6405,0.6380,0.6082,Ibsen
spacy_small,1890-1905,true,246,567,partial,0.6848,0.6775,0.6431,Ibsen
spacy_small,1890-1905,true,246,567,type,0.5667,0.5421,0.5225,Ibsen
spacy_medium,1844-1871,true,373,593,strict,0.3501,0.5191,0.4043,Ibsen
spacy_medium,1844-1871,true,373,593,exact,0.4306,0.6604,0.5003,Ibsen
spacy_medium,1844-1871,true,373,593,partial,0.4999,0.7736,0.5830,Ibsen
spacy_medium,1844-1871,true,373,593,type,0.4238,0.6179,0.4865,Ibsen
spacy_medium,1871-1879,true,318,309,strict,0.6388,0.6437,0.6296,Ibsen
spacy_medium,1871-1879,true,318,309,exact,0.7413,0.7324,0.7220,Ibsen
spacy_medium,1871-1879,true,318,309,partial,0.7691,0.7625,0.7508,Ibsen
spacy_medium,1871-1879,true,318,309,type,0.6684,0.6753,0.6602,Ibsen
spacy_medium,1880-1889,true,316,302,strict,0.6369,0.5878,0.6013,Ibsen
spacy_medium,1880-1889,true,316,302,exact,0.7255,0.6906,0.6936,Ibsen
spacy_medium,1880-1889,true,316,302,partial,0.7679,0.7332,0.7358,Ibsen
spacy_medium,1880-1889,true,316,302,type,0.6990,0.6503,0.6632,Ibsen
spacy_medium,1890-1905,true,246,392,strict,0.5753,0.6017,0.5757,Ibsen
spacy_medium,1890-1905,true,246,392,exact,0.6666,0.6959,0.6664,Ibsen
spacy_medium,1890-1905,true,246,392,partial,0.7309,0.7697,0.7326,Ibsen
spacy_medium,1890-1905,true,246,392,type,0.6426,0.6827,0.6465,Ibsen
spacy_large,1844-1871,true,373,548,strict,0.3762,0.5331,0.4248,Ibsen
spacy_large,1844-1871,true,373,548,exact,0.4718,0.6635,0.5301,Ibsen
spacy_large,1844-1871,true,373,548,partial,0.5426,0.7655,0.6107,Ibsen
spacy_large,1844-1871,true,373,548,type,0.4568,0.6295,0.5110,Ibsen
spacy_large,1871-1879,true,318,300,strict,0.6067,0.6124,0.5960,Ibsen
spacy_large,1871-1879,true,318,300,exact,0.7260,0.7010,0.6951,Ibsen
spacy_large,1871-1879,true,318,300,partial,0.7727,0.7422,0.7375,Ibsen
spacy_large,1871-1879,true,318,300,type,0.6458,0.6519,0.6352,Ibsen
spacy_large,1880-1889,true,316,287,strict,0.6151,0.5863,0.5960,Ibsen
spacy_large,1880-1889,true,316,287,exact,0.7167,0.6832,0.6949,Ibsen
spacy_large,1880-1889,true,316,287,partial,0.7802,0.7382,0.7531,Ibsen
spacy_large,1880-1889,true,316,287,type,0.6940,0.6525,0.6667,Ibsen
spacy_large,1890-1905,true,246,409,strict,0.5642,0.6174,0.5765,Ibsen
spacy_large,1890-1905,true,246,409,exact,0.6353,0.6932,0.6475,Ibsen
spacy_large,1890-1905,true,246,409,partial,0.7317,0.7912,0.7410,Ibsen
spacy_large,1890-1905,true,246,409,type,0.6657,0.7381,0.6840,Ibsen
spacy_trf,1844-1871,true,373,342,strict,0.7170,0.6799,0.6929,Ibsen
spacy_trf,1844-1871,true,373,342,exact,0.7908,0.7568,0.7665,Ibsen
spacy_trf,1844-1871,true,373,342,partial,0.8482,0.8110,0.8220,Ibsen
spacy_trf,1844-1871,true,373,342,type,0.8111,0.7699,0.7845,Ibsen
spacy_trf,1871-1879,true,318,314,strict,0.7870,0.7871,0.7777,Ibsen
spacy_trf,1871-1879,true,318,314,exact,0.8317,0.8330,0.8229,Ibsen
spacy_trf,1871-1879,true,318,314,partial,0.8640,0.8622,0.8531,Ibsen
spacy_trf,1871-1879,true,318,314,type,0.8211,0.8227,0.8125,Ibsen
spacy_trf,1880-1889,true,316,288,strict,0.7217,0.6728,0.6883,Ibsen
spacy_trf,1880-1889,true,316,288,exact,0.7594,0.7079,0.7244,Ibsen
spacy_trf,1880-1889,true,316,288,partial,0.8333,0.7692,0.7907,Ibsen
spacy_trf,1880-1889,true,316,288,type,0.8322,0.7585,0.7837,Ibsen
spacy_trf,1890-1905,true,246,247,strict,0.7220,0.7015,0.7064,Ibsen
spacy_trf,1890-1905,true,246,247,exact,0.7635,0.7386,0.7454,Ibsen
spacy_trf,1890-1905,true,246,247,partial,0.8386,0.8168,0.8214,Ibsen
spacy_trf,1890-1905,true,246,247,type,0.8683,0.8537,0.8543,Ibsen
dacy_medium,all,false,918,979,strict,0.6853,0.7262,0.6892,Ibsen
dacy_medium,all,false,918,979,exact,0.7131,0.7599,0.7293,Ibsen
dacy_medium,all,false,918,979,partial,0.7595,0.8133,0.7780,Ibsen
dacy_medium,all,false,918,979,type,0.7722,0.8285,0.7914,Ibsen
dacy_small,all,false,918,1115,strict,0.6569,0.7227,0.6747,Ibsen
dacy_small,all,false,918,1115,exact,0.7087,0.7836,0.7296,Ibsen
dacy_small,all,false,918,1115,partial,0.7369,0.8224,0.7617,Ibsen
dacy_small,all,false,918,1115,type,0.7064,0.7920,0.7315,Ibsen
dacy_large,all,false,918,950,strict,0.7996,0.8113,0.7994,Ibsen
dacy_large,all,false,918,950,exact,0.8341,0.8473,0.8344,Ibsen
dacy_large,all,false,918,950,partial,0.8602,0.8762,0.8616,Ibsen
dacy_large,all,false,918,950,type,0.8436,0.8606,0.8455,Ibsen
spacy_small,all,false,918,1716,strict,0.4574,0.5340,0.4653,Ibsen
spacy_small,all,false,918,1716,exact,0.5666,0.6613,0.5747,Ibsen
spacy_small,all,false,918,1716,partial,0.5923,0.6968,0.6021,Ibsen
spacy_small,all,false,918,1716,type,0.4893,0.5720,0.4972,Ibsen
spacy_medium,all,false,918,1306,strict,0.5609,0.6506,0.5818,Ibsen
spacy_medium,all,false,918,1306,exact,0.5910,0.6964,0.6149,Ibsen
spacy_medium,all,false,918,1306,partial,0.6313,0.7479,0.6591,Ibsen
spacy_medium,all,false,918,1306,type,0.6302,0.7355,0.6567,Ibsen
spacy_large,all,false,918,1280,strict,0.5518,0.6409,0.5746,Ibsen
spacy_large,all,false,918,1280,exact,0.6028,0.7048,0.6318,Ibsen
spacy_large,all,false,918,1280,partial,0.6509,0.7631,0.6783,Ibsen
spacy_large,all,false,918,1280,type,0.6313,0.7382,0.6572,Ibsen
spacy_trf,all,false,918,958,strict,0.7382,0.7669,0.7446,Ibsen
spacy_trf,all,false,918,958,exact,0.7749,0.8063,0.7819,Ibsen
spacy_trf,all,false,918,958,partial,0.8235,0.8591,0.8318,Ibsen
spacy_trf,all,false,918,958,type,0.8303,0.8678,0.8397,Ibsen
dacy_medium,1844-1871,false,281,310,strict,0.6815,0.7589,0.7080,Ibsen
dacy_medium,1844-1871,false,281,310,exact,0.7166,0.7953,0.7436,Ibsen
dacy_medium,1844-1871,false,281,310,partial,0.7462,0.8372,0.7776,Ibsen
dacy_medium,1844-1871,false,281,310,type,0.7394,0.8415,0.7747,Ibsen
dacy_medium,1871-1879,false,214,225,strict,0.7167,0.7538,0.7297,Ibsen
dacy_medium,1871-1879,false,214,225,exact,0.7454,0.7912,0.7613,Ibsen
dacy_medium,1871-1879,false,214,225,partial,0.7830,0.8306,0.7998,Ibsen
dacy_medium,1871-1879,false,214,225,type,0.7837,0.8232,0.7978,Ibsen
dacy_medium,1880-1889,false,208,220,strict,0.6927,0.7389,0.7089,Ibsen
dacy_medium,1880-1889,false,208,220,exact,0.7235,0.7700,0.7398,Ibsen
dacy_medium,1880-1889,false,208,220,partial,0.7767,0.8223,0.7921,Ibsen
dacy_medium,1880-1889,false,208,220,type,0.7990,0.8436,0.8135,Ibsen
dacy_medium,1890-1905,false,215,224,strict,0.6431,0.6531,0.6460,Ibsen
dacy_medium,1890-1905,false,215,224,exact,0.6668,0.6833,0.6724,Ibsen
dacy_medium,1890-1905,false,215,224,partial,0.7320,0.7629,0.7426,Ibsen
dacy_medium,1890-1905,false,215,224,type,0.7666,0.8056,0.7796,Ibsen
dacy_small,1844-1871,false,281,387,strict,0.4722,0.6378,0.5290,Ibsen
dacy_small,1844-1871,false,281,387,exact,0.5076,0.6849,0.5692,Ibsen
dacy_small,1844-1871,false,281,387,partial,0.5574,0.7618,0.6286,Ibsen
dacy_small,1844-1871,false,281,387,type,0.5525,0.7682,0.6270,Ibsen
dacy_small,1871-1879,false,214,245,strict,0.6713,0.7286,0.6857,Ibsen
dacy_small,1871-1879,false,214,245,exact,0.7397,0.8142,0.7592,Ibsen
dacy_small,1871-1879,false,214,245,partial,0.7584,0.8365,0.7794,Ibsen
dacy_small,1871-1879,false,214,245,type,0.7011,0.7640,0.7179,Ibsen
dacy_small,1880-1889,false,208,220,strict,0.8017,0.8051,0.7944,Ibsen
dacy_small,1880-1889,false,208,220,exact,0.8670,0.8713,0.8600,Ibsen
