model,data,misc_or_type,no_of_annotations,no_of_predictions,mode,precision,recall,f1,F1_from
dacy_large,all,misc,331,341,partial,0.7443,0.7684,0.7439,Ibsen
dacy_large,all,misc,331,341,type,0.7600,0.7837,0.7592,Ibsen
spacy_trf,all,person,460,438,strict,0.7246,0.7165,0.7129,Ibsen
spacy_trf,all,person,460,438,exact,0.7246,0.7165,0.7129,Ibsen
spacy_trf,all,person,460,438,partial,0.7846,0.7804,0.7739,Ibsen
spacy_trf,all,person,460,438,type,0.8446,0.8443,0.8349,Ibsen
spacy_trf,all,location,387,430,strict,0.8742,0.9109,0.8851,Ibsen
spacy_trf,all,location,387,430,exact,0.8755,0.9126,0.8866,Ibsen
spacy_trf,all,location,387,430,partial,0.8874,0.9225,0.8971,Ibsen
spacy_trf,all,location,387,430,type,0.8978,0.9308,0.9061,Ibsen
spacy_trf,all,organization,78,90,strict,0.6342,0.6408,0.6271,Ibsen
spacy_trf,all,organization,78,90,exact,0.6342,0.6408,0.6271,Ibsen
spacy_trf,all,organization,78,90,partial,0.6565,0.6669,0.6507,Ibsen
spacy_trf,all,organization,78,90,type,0.6788,0.6929,0.6743,Ibsen
spacy_trf,all,misc,331,233,strict,0.7428,0.6547,0.6781,Ibsen
spacy_trf,all,misc,331,233,exact,0.7428,0.6547,0.6781,Ibsen
spacy_trf,all,misc,331,233,partial,0.7513,0.6634,0.6866,Ibsen
spacy_trf,all,misc,331,233,type,0.7599,0.6720,0.6951,Ibsen
spacy_small,all,person,460,690,strict,0.4756,0.4500,0.4387,Ibsen
spacy_small,all,person,460,690,exact,0.4756,0.4500,0.4387,Ibsen
spacy_small,all,person,460,690,partial,0.4989,0.4750,0.4609,Ibsen
spacy_small,all,person,460,690,type,0.5221,0.4999,0.4831,Ibsen
spacy_small,all,location,387,684,strict,0.6372,0.7390,0.6568,Ibsen
spacy_small,all,location,387,684,exact,0.6378,0.7406,0.6576,Ibsen
spacy_small,all,location,387,684,partial,0.6387,0.7417,0.6586,Ibsen
spacy_small,all,location,387,684,type,0.6392,0.7412,0.6587,Ibsen
spacy_small,all,organization,78,342,strict,0.3959,0.4414,0.4006,Ibsen
spacy_small,all,organization,78,342,exact,0.3959,0.4414,0.4006,Ibsen
spacy_small,all,organization,78,342,partial,0.4017,0.4519,0.4074,Ibsen
spacy_small,all,organization,78,342,type,0.4075,0.4623,0.4141,Ibsen
spacy_small,all,misc,331,275,strict,0.5678,0.5360,0.5375,Ibsen
spacy_small,all,misc,331,275,exact,0.5678,0.5360,0.5375,Ibsen
spacy_small,all,misc,331,275,partial,0.5830,0.5427,0.5466,Ibsen
spacy_small,all,misc,331,275,type,0.5983,0.5493,0.5556,Ibsen
spacy_medium,all,person,460,632,strict,0.5423,0.5961,0.5528,Ibsen
spacy_medium,all,person,460,632,exact,0.5423,0.5961,0.5528,Ibsen
spacy_medium,all,person,460,632,partial,0.5877,0.6510,0.6008,Ibsen
spacy_medium,all,person,460,632,type,0.6330,0.7060,0.6489,Ibsen
spacy_medium,all,location,387,426,strict,0.8047,0.8262,0.8022,Ibsen
spacy_medium,all,location,387,426,exact,0.8056,0.8278,0.8034,Ibsen
spacy_medium,all,location,387,426,partial,0.8096,0.8327,0.8077,Ibsen
spacy_medium,all,location,387,426,type,0.8128,0.8358,0.8108,Ibsen
spacy_medium,all,organization,78,248,strict,0.4924,0.5144,0.4964,Ibsen
spacy_medium,all,organization,78,248,exact,0.4924,0.5144,0.4964,Ibsen
spacy_medium,all,organization,78,248,partial,0.5048,0.5337,0.5105,Ibsen
spacy_medium,all,organization,78,248,type,0.5171,0.5530,0.5245,Ibsen
spacy_medium,all,misc,331,290,strict,0.550,0.5107,0.5118,Ibsen
spacy_medium,all,misc,331,290,exact,0.550,0.5107,0.5118,Ibsen
spacy_medium,all,misc,331,290,partial,0.5576,0.5162,0.5177,Ibsen
spacy_medium,all,misc,331,290,type,0.5653,0.5217,0.5236,Ibsen
spacy_large,all,person,460,621,strict,0.5430,0.6080,0.5605,Ibsen
spacy_large,all,person,460,621,exact,0.5430,0.6080,0.5605,Ibsen
spacy_large,all,person,460,621,partial,0.6008,0.6736,0.6207,Ibsen
spacy_large,all,person,460,621,type,0.6586,0.7393,0.6809,Ibsen
spacy_large,all,location,387,380,strict,0.8491,0.8357,0.8298,Ibsen
spacy_large,all,location,387,380,exact,0.8504,0.8374,0.8314,Ibsen
spacy_large,all,location,387,380,partial,0.8587,0.8433,0.8381,Ibsen
spacy_large,all,location,387,380,type,0.8655,0.8476,0.8433,Ibsen
spacy_large,all,organization,78,279,strict,0.4239,0.4435,0.4246,Ibsen
spacy_large,all,organization,78,279,exact,0.4239,0.4435,0.4246,Ibsen
spacy_large,all,organization,78,279,partial,0.4340,0.4638,0.4366,Ibsen
spacy_large,all,organization,78,279,type,0.4441,0.4840,0.4485,Ibsen
spacy_large,all,misc,331,264,strict,0.5626,0.5217,0.5247,Ibsen
spacy_large,all,misc,331,264,exact,0.5626,0.5217,0.5247,Ibsen
spacy_large,all,misc,331,264,partial,0.5700,0.5292,0.5302,Ibsen
spacy_large,all,misc,331,264,type,0.5774,0.5366,0.5357,Ibsen
